Data Medicao;PRECIPITACAO TOTAL, DIARIO (mm);TEMPERATURA MAXIMA, DIARIA (C);TEMPERATURA MEDIA, DIARIA (C);TEMPERATURA MINIMA, DIARIA (C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (%);
2001-01-01;0;30,1;23,616667;18,4;68,458333;48;
2001-01-02;0;32,1;25,475;20;69,958333;45;
2001-01-03;0;33,4;26,345833;21;69,083333;43;
2001-01-04;0;35,5;27,429167;21,2;65,041667;37;
2001-01-05;0;35,6;27,6375;24,6;67,25;35;
2001-01-06;0;35,1;27,779167;21,7;60,416667;28;
2001-01-07;0;33,3;27,058333;25,2;66,166667;46;
2001-01-08;13,2;29,7;25,670833;22,3;75,666667;57;
2001-01-09;0;32,3;27,429167;23,7;71,583333;52;
2001-01-10;0;33,3;27,25;23,7;71,083333;47;
2001-01-11;46,4;25;21,8875;18,7;76,75;47;
2001-01-12;,6;26,2;21,395833;16,8;56,583333;33;
2001-01-13;0;31,7;24,858333;19,6;64,375;44;
2001-01-14;0;27,8;24,6125;22,5;78,708333;64;
2001-01-15;1,6;31;24,6;21,5;81,041667;51;
2001-01-16;19,8;28,1;24,4875;21,9;84,291667;63;
2001-01-17;,6;34,2;26,791667;22,7;72,291667;43;
2001-01-18;31,8;34,9;null;20,8;77,842105;47;
2001-01-19;null;null;null;null;null;null;
2001-01-20;null;null;null;null;null;null;
2001-01-21;null;null;null;null;null;null;
2001-01-22;null;null;null;null;null;null;
2001-01-23;null;null;null;null;null;null;
2001-01-24;null;null;null;null;null;55;
2001-01-25;null;33,9;27,008333;23,1;75,166667;42;
2001-01-26;0;31,4;26,516667;23;78,208333;55;
2001-01-27;0;33,9;25,616667;22,7;79,791667;48;
2001-01-28;13,4;31,4;24,108333;20,6;81,25;55;
2001-01-29;26;25,7;22,083333;19,5;86,25;69;
2001-01-30;,2;26,4;22,675;19,2;74,333333;61;
2001-01-31;0;27,6;23,791667;21,6;81,416667;71;
2001-02-01;9,4;29,3;24,9375;22,1;82,833333;62;
2001-02-02;1;32,8;26,675;21,9;73,791667;50;
2001-02-03;0;27,8;24,245833;24,2;79,083333;64;
2001-02-04;,2;23,7;21,779167;20,4;79,125;69;
2001-02-05;2,8;27,1;23,429167;21,1;80,583333;70;
2001-02-06;0;32,1;26,091667;22,1;75,333333;46;
2001-02-07;0;34,4;28;21,6;64,5;37;
2001-02-08;0;34,2;28,175;22,5;69,166667;45;
2001-02-09;0;29,9;26,991667;25,1;76,208333;59;
2001-02-10;0;34,7;27,8875;22,4;73,375;48;
2001-02-11;2;33,5;27,825;24,3;76,708333;57;
2001-02-12;11;27,3;23,5;22;89,208333;74;
2001-02-13;6,2;26;22,983333;20,6;73,416667;59;
2001-02-14;0;29,7;24,679167;21,6;78,166667;60;
2001-02-15;1;27,4;23,729167;23,2;86,791667;67;
2001-02-16;16,8;28,2;23,379167;20,8;78,75;55;
2001-02-17;,6;29,1;24,004167;20;76,25;59;
2001-02-18;0;30,6;25,675;22,3;77,416667;55;
2001-02-19;0;31,3;25,695833;22,1;79,583333;55;
2001-02-20;0;31;25,829167;22,5;76,75;51;
2001-02-21;0;33,9;26,4625;21,1;67,041667;41;
2001-02-22;1,8;30,6;25,733333;23,3;80,083333;54;
2001-02-23;7;34,1;28,1375;23;66,875;38;
2001-02-24;0;33,7;28,145833;25,4;68,916667;47;
2001-02-25;0;31,1;26,245833;24,3;79,541667;60;
2001-02-26;44,4;31,5;26,329167;22,7;83,041667;59;
2001-02-27;0;30,4;26,191667;23,8;76;56;
2001-02-28;0;31,4;26,629167;23,6;70,75;55;
2001-03-01;0;34,3;26,9125;21,6;66;39;
2001-03-02;0;34,4;27,3375;22,8;70,583333;41;
2001-03-03;0;32,6;26,625;23,1;72,25;51;
2001-03-04;0;33,9;27,420833;22,6;69,166667;42;
2001-03-05;0;34,6;27,816667;22,8;67,5;41;
2001-03-06;0;33,6;25,933333;22,9;77;51;
2001-03-07;,8;28,3;24,208333;22,8;84,583333;70;
2001-03-08;2,6;28,9;24,708333;23;83,75;70;
2001-03-09;2,8;29,6;25,183333;22,6;81,416667;65;
2001-03-10;,2;31,4;25,856522;21,6;76,304348;52;
2001-03-11;null;29,7;null;22,1;74,7;47;
2001-03-12;0;29,3;24,05;20,8;77,791667;55;
2001-03-13;1,2;31,9;26,095833;22,4;79,083333;51;
2001-03-14;0;33,3;27,066667;22,9;76,958333;52;
2001-03-15;0;28,6;24,9;24,3;86,125;72;
2001-03-16;46;29;24,733333;21,7;82,75;62;
2001-03-17;0;29,1;25,0375;23;83,916667;67;
2001-03-18;,8;31,1;26,175;23,3;75,708333;50;
2001-03-19;,6;29,5;24,829167;22,4;80,125;63;
2001-03-20;2,8;27,5;24,004167;21,3;79,125;62;
2001-03-21;0;32,5;25,908333;22;70,708333;48;
2001-03-22;1;34,8;28,358333;22,9;71,25;45;
2001-03-23;1,4;30,9;25,308333;23,7;73,666667;56;
2001-03-24;0;28,3;24,3;22,4;79,833333;64;
2001-03-25;3;30,8;25,020833;21,8;80,708333;51;
2001-03-26;48,4;26,4;22,654167;20,5;80,041667;57;
2001-03-27;0;25,4;21,316667;17,6;70,291667;47;
2001-03-28;0;26;20,75;16,1;70,666667;42;
2001-03-29;0;27,7;21,441667;16,5;73,166667;42;
2001-03-30;0;29,1;22,4375;17,8;73,416667;44;
2001-03-31;0;30,2;22,7125;18,9;80,833333;49;
2001-04-01;11,6;27,8;21,973913;18,6;81,478261;57;
2001-04-02;28;27,5;22,308333;18,6;83,125;60;
2001-04-03;,2;27,1;22;18,2;77,166667;53;
2001-04-04;0;26,3;21,479167;17,8;79,125;59;
2001-04-05;0;30,8;24,320833;20,3;73,791667;49;
2001-04-06;15;25,8;21,241667;20,3;88,083333;72;
2001-04-07;1;25,2;21,466667;19;79,166667;63;
2001-04-08;0;26;21,525;20,2;84,416667;61;
2001-04-09;3,2;27,8;22,4125;20,5;88,708333;66;
2001-04-10;37,2;24,2;21,204167;19;81,041667;62;
2001-04-11;,2;26,2;20,116667;16;77,833333;49;
